equivocate	intentionally use vague language
impecunious	poor; having no money
perennial	present throughout the years; persistent
Pristine	fresh and clean; uncorrupted
Opaque	impossible to see through; preventing the passage of light
bombastic	pompous; using inflated language
minutia	petty details
facetious	homorous
Ambiguous	doubtful or uncertain; can be interpreted several ways
categorical	absolute; without exception
burnish	to polish
juggernaut	huge froce destrying everything in its path
minatory	threatening; menacing
Deface	to mar the appearance of; vandalize
Impetuous	quick to act without thinking
refractory	stubborn, resisting ordinary methods of treatment
permeable	penetrable
salubrious	healthful
Desiccate	to dry out thoroughly
substantive	essential
Burnish	to polish
geniality	cheerfulness; kindliness; sociability
levity	light manner or attitude
Dictum	authoritative statement
homily	sermon; tedious moralizing lecture
Licentious	immoral; unrestrained by society
discrepancy	difference between
query	question
Abate	to reduce in amount, degree, or severity
Rococo	very highly ornamented; relating to an 18th century artistic style of elaborate ornamentation
presumptuous	rude; improperly bold
premonition	forewarning; presentiment
doggerel	poor verse
placate	soothe; pacify
strut	to swagger, display to impress others
hieroglyphics	a system of writing in which pictorial symbols represent meanings or sounds; wirting or symbols that are difficult to decipher
Grievous	causing grief or sorrow; serious and distressing
fallow	plowed but not sowed; uncultivated
Toady	one who flatters in the hope of gaining favors
Sportive	frolicsome; playful
abeyance	temporary suppression or suspension
halcyon	calm and peaceful; happy; golden; prosperous
Lucid	clear and esily understood
obsequious	overly submissive
mitigate	alleviate; to become less severe
abstemious	moderate in appetite
Winsome	charming; happily engaging
Exponent	one who champions or advocates
churlish	rude; boorish
Wan	sickly pale
introspective	contemplating one's own thoughts and feelings
encomium	a formal expression of praise
bovine	cowlike
Neophyte	novice; beginner
raiment	clothing
concoct	to invent
anarchy	absence of government; state of disorder
behemoth	huge creature; anything very large and powerful
Vim	vitality and energy
Amortize	to diminish by installment payments
olfactory	concerning the sense of smell
Redress	relief from wrong or injury
ramification	implication, consequence
impinge	to strike; encroach
Invidious	envious, obnoxious, or offensive, likely to promote ill-will
wary	careful, cautious
fulsome	so excessive as to be disgusting
Ameliorate	to make better; to improve
Talon	claw of an animal, especially a bird of prey
sartorial	pertaining to tailors
cartography	science of making maps
Imprecation	a curse
itinerant	wandering from place to place; unsettled
coquette	woman who flirts
peremptory	imperative; leaving no choice
extemporaneous	unrehearsed
Penury	an oppressive lack of resources (as money); severe poverty
diffuse	to spread out
Kindle	to set fire to or ignite; excite or inspire
caucus	smaller group within an organization
perturb	to disturb greatly; make uneasy or anxious
Bevy	group
Salubrious	healthful
quail	to cower, lose heart
Florid	excessively decorated or embellished
lassitude	lethargy; sluggishness
paleonthology	study of past geological eras through fossil remains
Edify	to instruct morally and spiritually
Abstemious	moderate in appetite
Fecund	fertile; fruitful; productive
champion	to defend or support
Stolid	unemotional; lacking sensitivity
malinger	to feign illness to escape duty
assiduous	diligent; hard-working
stentorian	extremely loud
equable	steady; unvarying; serene
Plucky	courageous; spunky
plethora	excess; overabundance
dirge	funeral hymn
Encomium	warm praise
litany	lengthy recitation; repetitive chant
Cosset	to pamper; treat with great care
opprobium	public disgrace; contempt
commensurate	proportional
disingenuous	not candid, crafty
fresco	a painting done on plaster
embellish	to adorn; enhance
repudiate	to reject as having no authority
avocation	secondary occupation
rarefied	refined
piety	devoutness
travesty	parody, exaggerated imitation, caricature
libertine	one without moral restraint
Noisome	stinking; putrid
Aerie	a nest built high in the air; an elevated, often secluded, dwelling
guise	outward appearance; false appearance
precipitate	rash; hasty; sudden; done without deliberation
dissident	person who disagrees about beliefs
enhance	to increase; improve
connoisseur	expert in matters of taste; expert knowledge or training
Molt	to shed hair, skin, or an outer layer periodically
Rhetoric	effective writing or speaking
bifurcate	to divide into two parts
filibuster	use of obstructive tactics in a legislature to block passage of a law
sylvan	related to the woods or forest
fulminate	to attack loudly; denounce
Inimical	hostile; unfriendly
perfidious	faithless; disloyal; untrustworthy
dupe	to deceive; trick
Cabal	a secret group seeking to overturn something
dichotomy	division into two usually contradictory parts
preamble	preliminary statement
quibble	to argue over insignificant and irrelevant details
evince	to show plainly; be an indication of
anomalous	irregular; deviating from the norm
punctilious	careful in observing rules fo behavior
grandiloquent	pompous; bombastic
quorum	number of memeber necessary to conduct a meeting
Solecism	gtrammatical mistake; blunder in speech
lustrous	shining
dismiss	put away from consideration; reject
compunction	uneasiness caused by guilt
aggregate	amounting to a whole; total
Ingrate	ungrateful person
factotum	a person who does all sorts of work; a handyman
Jettison	to discard; to get rid of as unnecessary or encumbering
avuncular	like an uncle, benevolent and tolerant
abdicate	to give up a position, right, or power
machinations	plots or schemes
stipulate	to specify as an essential condition
repine	fret, complain
Anomaly	deviation from what is normal
Trenchant	acute, sharp, or incisive; forecful; effective
Calumny	a false and malicious accusation; misrepresentation
Larceny	theft of property
servile	submissive, obedient
reproach	to find fault with, blame
wistful	vaguely longing, sadly thoughtful
exigency	crisis; urgent requirements
estimable	admirable; possible to estimate
subversive	intended to undermine or underthrow, especially an established government
finesse	to handle with a deceptive or evasive strategy; refined in performance
Stigma	a mark of shame or discredit
clamor	noisy outcry
Surly	rude and bad-tempered
Monastic	extremly plain or secluded, as in a monastery
audacious	bold; daring
misogynist	one who hates women
pragmatic	practical
Lissome	easily flexed; limber; agile
Permeate	to penetrate
untenable	indefensible
Officious	too helpful; meddlesome
Banal	predictable; cliched; boring
igneous	produced by fire; volcanic
Innocuous	harmless
convoluted	twisted; complicated
mettlesome	full of courage and fortitude
dissemble	to pretend; disguise one's motives
Taciturn	silent; not talkative
Forestall	to prevent or delay; anticipate
incarnate	having bodily form
Nadir	lowest point
Iconoclast	one who opposes established beliefs, customs, and institutions
Aberrant	deviating from what is normal or expected
Oblique	indirect or evasive; misleading or devious
Investiture	ceremony conferring authority
Enigma	a puzzle; a mystery
enervate	to weaken
limpid	clear; transparent
adamant	uncompromising; unyielding
extant	in existence; not lost
Itinerant	wandering from place to place; unsettled
Cloying	sickly sweet; excessive
mollify	to soothe
treatise	article treating a subject systematically and thoroughly
occlude	to shut; block
maelstrom	whirpool; turmoil
Orotund	pompous
impede	to hinder; block
evocative	tending to call to mind or produce a reaction
amalgamate	to combine into a unified whole
Bolster	to support; prop up
reprobate	morally unprincipled person
dogmatic	stating opinions without proof
Dilettante	someone with an amateurish and superficial interest in a topic
Maelstrom	whirlpool; turmoil; agitated state of mind
etymology	origin an history of a word
Ossify	to change in to bone; to become hardened or set in a rigidly conventional pattern
raconteur	witty, skillful storyteller
Machination	plot or scheme
Eschew	to shun; to avoid (as something wrong or distasteful)
Terrestrial	earthly; down to earth; commonplace
abscission	the act of cutting; the natural separation of a leaf or other part of a plant
Capricious	changing one's mind quickly and often
exacerbate	to aggravate; make worse
Listless	lacking energy and enthusiasm
concave	curving inward
metereological	concerned with the weather
Philistine	a person who is guided by materialism and is disdainful of intellectual or artistic values
vaunt	to boast, drag
phlegmatic	unemotional; calm in temperament
sanction	to approve, ratify, permit
obdurate	stubborn
paucity	scarcity
Frenetic	frantic; frenzied
Demur	to express doubts or objections
diffidence	shyness; lack of confidence
Implacable	unable to be calmed down or made peaceful
Levity	an inappropriate lack of seriousness; overly casual
flux	flowing; a continuous moving
bucolic	characteristic of the countryside; rustic; pastoral
miscellany	mixture of writtings on various subjects
rue	regret
distill	extract the essential elements
fracas	a loud quarrel; brawl
apposite	strikingly appropriate and relevant
Mendacious	dishonest
mundane	worldy as opposed to spiritual; concerned with the ordinary
Bombastic	pompous in speech and manner
rescind	to cancel
Iniquity	sin; evil act
asylum	place of refuge or shelter
affected	pretentious; phony
Guile	deceit; trickery
Belfry	bell tower; room in which a bell in hung
Dyspeptic	suffering from indigestion; gloomy and irritable
Bonhomie	good-natured geniality; atmosphere of good cheer
Raconteur	witty, skillful storyteller
glib	fluent in an insincere way; offhand
convex	curved outward
sporadic	irregular
Garrulous	tending to talk a lot
pallid	lacking color or liveliness
Verbose	wordy
Exonerate	to clear of blame
Stratagem	trick designed to deceive an enemy
Laud	to giv praise; to glorify
overweening	presumptuous; arrogant
Pragmatic	practical, as opposed to idealistic
stricture	something that restrains, negative criticism
Erratic	wandering and unpredictable
ostentatious	showy; pretentious
unfeigned	not false, genuine
demur	to express doubt; question or oppose
apothegm	a terse, witty saying
delineate	to represent or depict
Propriety	the quality of behaving in a proper manner; obeying rules and customs
lilliputian	extremely small
Hermetic	tightly sealed
Inundate	to overwhelm; to cover with water
purport	to profess, suppose, claim
Imperturbable	not capable of being disturbed
carnal	of the flesh or body; related to physical appetities
theocracy	government by priests representing a god
Catalyst	something that brings about a change in something else
Tacit	done without using words
aggrandize	to make larger or greater
anachronism	something out of the proper time
paean	song of joy or triumph; a fervent expression of joy
tortuous	having many twists and turns, highly complex
vacuous	empty, void, lacking intelligence
Cacophony	harsh, jarring noise
gustatory	affecting the sense of taste
Abstain	to chose not to do something
Augury	prophecy; prediction of events
derivative	something derived; unoriginal
reparation	amends, compensation
reticent	nor speaking freely, reserved, reluctant
gauche	coarse and uncouth; clumsy
insipid	lacking in flavor; dull
inadvertenly	carelessly; unintentionally
disabuse	free from a misconception
assuage	to make less severe
Unconscionable	unscrupulous; shockingly unfair or unjust
Canard	a lie
tacit	silently understood, implied
Insurrection	rebellion
satiate	to satisfy
Sardonic	cynical; scornfully mocking
venerate	to adore, honor, respect
Keen	having a sharp edge; intellectually sharp; perceptive
Decorum	appropriateness of behavior or conduct; propriety
foment	to incite; arouse
neophyte	novice; beginner
Tyro	beginner; novice
felicitous	suitable expressed; wee-chose; appropiate
inconsequencial	insgnificant; unimportant
aberrant	deviating from what is normal
Caustic	biting in wit
linguistic	pertaining to language
Exprugate	to censor
puissant	powerful
Furtive	secret; stealthy
clairvoyant	one who can predict the future; psychic
Syncopation	temporary irregularity in musical rhythm
ameliorate	to improve
Pejorative	having bad connotations; disparaging
liberal	tolerant; broad-minded
Imbue	to infuse, dye, wet, or moisten
squalor	filthy, wretched condition
profound	deep, not superficial
antecedent	something that comes before
obviate	to make unnecessary; to anticipate and prevent
idolatry	idol worship; blind or excessive devotion
conscript	a person compulsorily enrolled for military service
chivalry	the qualities idealized by knighthood such as bravery and gallantry toward women
calumny	false and malicious accusation; slander
blase	bored because of frequent indulgence; unconcerned
Fervid	intensely emotional; feverish
Placate	to soothe or pacify
translucent	partially transparent
travail	work, especially arduous work
mettle	courage; endurance
artifact	item made by human craft
solvent	able to meet financial obligations
burgeon	to grow and flourish
Abyss	an extreely deep hole
abysmal	very bad
Inquest	an investigatin; an inquiry
prevaricate	to quibble; evade the truth
cantankerous	irritable; ill-humored
Turgid	swollen as from a fluid; bloated
captious	faultfinding; intended to entrap, as in an argument
Overwrought	agitated; overdone
Onerous	troublesome and oppresive; burdensome
accrue	to accumulate; grow by additions
elegy	poem or song expressing lamentation
insouciant	indifferent; lacking concern or care
recluse	person who lives in seclusion and often in solitude
zealot	one who is fanatically devoted to a cause
Paradox	a contradiction or dilemma
refulgent	brightly shining, resplendent
Phalanx	a compact or close-knit body of people, animals, or things
rail	to scold with bitter or abusive language
Meticulous	extremely careful; fastidious; painstaking
doctrinaire	dogmatic; unyielding
Scintilla	trace amount
solicitous	concerned, attentive, eager
cozen	to mislead by trick or fraud; decieve
Sublime	lofty or grand
spectrum	band of color, broad range of related ideas or objects
stupefy	to dull the senses of, stun, atonish
Sanguine	ruddy; cheerfully optimistic
covetous	desiring something owned by another
junta	group of people united in political intrigue
Husband	to manage economically; to use sparingly
Soporific	causing sleep or lethargy
disjointed	lacking order or coherence; dislocated
feral	existing in a wild or untamed state
incorporate	introduce something into another thing already in existence
discrete	constituing a separate thing; distinct
Alleviate	to make more bearable
Candid	impartial and honest in speech
tractable	obedient, yielding
reverent	expressing deep respect, worshipful
confound	to baffle; perplex; mix up
dross	waste; worthless matter
Lapidary	relating to precious stones or the art of cutting them
Mendicant	beggar
Mores	fixed customs or manners; moral attitudes
autonomous	self-governing; independent
gerrymander	to divide an area into voting districts in a way that favors a political party
occult	relating to practices connected with supernatural phenomena
Lassitude	a state of diminished energy
irascible	easily angered
onerous	burdensome
lucid	bright; clear; intelligible
impassive	showing no emotion
microcosm	a small system having analogies to a larger system
amenity	something that increases comfort
Advocate	to speak in favor of
dissolution	disintegration;debauchery
interdict	to forbid; prohibit
Bilk	to cheat; defraud
mesmerize	to hypnotize
primordial	original; existing from the beginning
presage	to foretell; indicate in advance
facilitate	to make less difficult
existential	having to do with existence
Dirge	a funeral hymn or mournful speech
implode	collapse inward violently
negate	to cancel out; nullify
perigee	point in an orbit that is closest to the earth
Opine	to express an opinion
striated	marked with thin, narrow grooves or channels
Livid	discolored from a bruise; pale; reddened with anger
gossamer	sheer; light and delicate; like cobwebs
Articulate	able to speak clearly and expressively
Inculcate	to teach; impress in the mind
deterrent	something that discourages or hinders
exculpate	to clear of blame; vindicate
intimate	marked by close acquaintance
stygian	dark and gloomy, hellish
inert	unable to move; sluggish
Lethargic	acting in an indifferent or slow, sluggish manner
ineluctable	not to be avoided or escaped; inevitable
Euphemism	use of an inoffensive word or phrase in place of a more distasteful one
nostrum	medicine or remedy of doubtful effectiveness
extrinsic	not inherent of essential
cornucopia	horn overflowing with fruit and grain; state of abundance
variegated	varied, marked with different colors
Lachrymose	tearful
Desultory	jumping from one thing to another; disconnected
Bifurcate	to divide into two parts
Mannered	artifical or stilted in character
eulogy	high praise to a death person
pungent	penetrating, caustic, to the point
endemic	inherent; belonging to an area
penchant	inclination
pathological	departing from normal condition
Acidulous	sour in taste or manner
Amalgamate	to combine; to mix together
desuetude	state of disuse
bawdy	obscene
formidable	menacing; threatening
inveigle	to win over by flattering or coaxing
Pungent	sharp and irritating to the senses
founder	to sink; fail; colapse
iconoclastic	attacking cherished traditions
Latent	potential that is not readily apparent
itinerary	route of a traveler's journey
Ephemeral	lasting a short time
Sagacious	shrewd; wise
Jargon	nonsensical talk; specialized language
contiguous	touching; neighboring; connecting without a break
Adulterate	to make impure
regale	to entertain
intransigence	stubbornness; refusal to compromise
Distend	to swell, inflate, or bloat
precursor	forerunner; predecessor
Metaphor	figure of speech comparing two different things
Tirade	long, harsh speech or verbal attack
Fortuitous	happening by chance; fortunate
Decorous	proper; tasteful; socially correct
equanimity	composure; calmness
forbearance	patience
Boor	crude person, one lacking manners or taste
flout	to treat scornfully
Juncture	point of time, especially where two things are joined
apathy	indifference
condone	to overlook voluntarily; forgive
Kinetic	relating to motion; characterized by movement
Sedition	behavior that promotes rebellion or civil disorder against the state
Enervate	to reduce in strength
chicanery	trickery; fraud
preempt	to supersede; appropiate for oneself
Repose	rexlation; leisure
Plastic	able to be molded, altered, or bent
abstinence	the giving up of certain pleasures
fractious	quarrelsome; unruly; rebellious
ruse	trick, crafty stratagem
fusion	union; synthesis
Elegy	a sorrowful poem or speech
jaundiced	havind a yellowish discoloration of the skin; affected by envy
pusillanimous	cowerdly
Judicious	sensible; showing good judgement
resolve	determination, firmness of purpose
Glib	fluent in an insincere manner; offhand; casual
emulate	to imitate; copy
analogous	comparable
skeptic	one who doubts
Kudos	fame, glory, or honor
jibe	to be in agreement
rebu	puzzle in whic pictures or symbols represent words
gambol	to frolic; leap playfully
errant	mistaken; straying from the proper course
sage	wise
euphemism	use of agreeable or inoffensive language in place of offensive language
alchemy	medieval chemical philosophy based on changing metal into gold; a seemingly magical power or process of transmutation
accretion	growth in size or increase in amount
bard	poet
futile	ineffective; useless; fruitless
Crescendo	steadily increasing in volume or force
Slake	to calm down or moderate
Magnate	powerful or influential person
Inexorable	inflexible; unyielding
Impugn	to call into question; to attack verbally
conjugal	pertaining to marriage agreement
Malleable	capable of being shaped
Neologism	new word or expression
partisan	one-sided; committed to a party, group or cause
incongruity	state of not fitting
platitude	stale; overused expression
Discern	to perceive or recognize
lascivious	lustful
proscribe	to condemn, forbid, outlaw
frieze	ornamental band on a wall
Luminous	btight; brilliant; glowing
simile	"comparison of one thing with another using ""like"" or ""as"""
Analgesia	a lessening of pain without loss of consciousness
Proclivity	a natural inclination or predisposition
affinity	fondness; liking; similarity
Vituperate	to abuse verbally; berate
Effigy	stuffed doll; likeness of a person
succor	relief, help in time of distress or want
rationale	fundamental reason
Nascent	starting to develop; coming into existence
Satiate	to satisfy fully or overindulge
demographic	related to population balance
banter	playful conversation
Restive	impatient, uneasy, or restless
Fatuous	stupid; foolishly self-satisfied
hyperbole	purposeful exaggeration for effect
stultify	to impair or reduce to uselessness
warranted	justified
Mirth	frivolity; gaiety; laughter
Incarnadine	blood-red in color
Reticent	silent; reserved
physiognomy	facial features
spendthrift	person who spends money recklessly
compliant	yielding
Martinet	strict discipliarian; one who rigidly follows rules
craven	cowardly
Diaphanous	allowing light to show through; delicate
Unequivocal	absolute; certain
Probity	complete honesty and integrity
Panegyric	elaborate praise; formal hymn of praise
supplant	to replace, substitute
Cartography	science or art of making maps
seismic	relating to earthquakes
callous	thick-skinned; insensitive
provident	providing for future need, frugal
aspersion	slander; false rumor
fervor	warmth and intensity of emotion
abjure	to reject; abandon formally
Diffident	lacking self-confidence
suffrage	the right to vote
qualified	limited, restricted
eugenics	study of factors that influence the hereditary qualities of the human race and ways to improve those qualities
transgression	act of trespassing or violating a law or rule
austere	stern; unadorned; simple
adulterate	to corrupt or make impure
discretion	quality of showing self-restraint in speech or actions
insinuate	to suggest; say indirectly; imply
Puerile	childish, immature, or silly
invidious	likely to provoke ill will
neologism	new word or expression
Contrite	deeply sorrowful and repentatnt for a wrong
laconic	using few words
Replete	abundantly supplied, complete
Anodyne	something that calms or soothes pain
conciliatory	overcoming distrust or hostility
Meretricious	gaudy; falsely attractive
Vernal	related to spring; fresh
tautology	unnecessary repetition
discredit	to dishonor; disgrace
Apostate	one who renounces a religious faith
inchoate	imperfectely formed or formulated
proliferate	to increase rapidly
discomfit	to make uneasy; disconcert
Specious	deceptively attractive; seemingly plausible but fallacious
mendicant	beggar
loquacious	talkative
effrontery	shameless boldness; presumptuousness
Waver	to fluctuate between choices
staccato	marked by abrupt, clear-cut sounds
Nuance	a subltle expression of meaning or quality
Repudiate	to reject the validity of
Sinecure	a well-paying job or office that requires little or no work
soliloquy	literary or dramatic speech by one character, not adressed to others
Libertine	a free thinker, usually used disparagingly; one without moral restraint
Gradation	process occurring by regular degrees or stages; variation in color
Peripatetic	wandering from place to place, especially on foot
plummet	to fall; plunge
contrite	very sorrowful for a wrong; seeking forgiveness
exorcise	to expel evil spirits; free from bad influences
Nominal	existing in name only; negligble
Paragon	model of excellence or perfection
admonish	to caution or reprimand
Disparate	fundamentally different; entirely unlike
Exigent	urgent; requiring immediate action
labile	likely to change
homeostasis	automatic maintenance by an organism in balance with itself
stint	to be sparing
pristine	untouched; uncorrupted
Wanton	undisciplined; unrestrained; reckless
Acme	highest point; summit; the highest level or degree attainable
usury	a practice of lending money at exorbitant rates
untoward	not favorable, troublesome, unruly
implausible	unlikely; unbelievable
Politic	shrewd and practical in managing or dealing with things; diplomatic
Perfunctory	done in a routine way; indifferent
credence	acceptance of something as true
diaphanous	transparent; vague; insubstancial
Dogmatic	dictatorial in one's opinions
libido	sexual desire
divest	to strip; deprive; rid
Dilatory	intended to delay
Multifarious	diverse
Condone	to overlook, pardon, or disregard
verbose	wordy
imbroglio	complicated situation; an entanglement
savor	to enjoy, have a distinctive flavor or smell
sedulous	diligent, assiduous
sextant	navigation tool that determines latitude and longitude
Convoluted	intricate and complicated
convivial	sociable
Transitory	temporary; lasting a brief time
egotistical	excessively self-centered; conceited
debauchery	corruption
Yoke	to join together
quagmire	marsh, difficult situation
veracious	truthful, accurate
amulet	ornament worn as a charm against evil spirits
Emulate	to copy; to try to equal or excel
Analogous	similar or alike insome way; equivalent to
rococo	excessively ornate
Archaic	ancient; old-fashioned
expiate	to atone for
plutocracy	society ruled by the wealthy
astringent	harsh; severe
ephemeral	short-lived; fleeting
hallowed	holy; sacred
Opprobrium	public disgrace
disparage	to belittle
desiccate	to dry completely
caste	any of the hereditary social classes in Hindu society; social stratification
froward	stubbornly contrary; obstinately disobedient
cacaphonous	unpleasant or harsh-sounding
Blithe	joyful; cheerful; or without appropriate thought
monolithic	solid and uniform; constituing a single, unified whole
satyr	a creature that is half-man, half beast, with the horns and legs of a goat
Equivocate	to use expressions of double meaning in order to mislead
sentient	aware, concious, able to preceive
Abscond	to leave secretly
Eclectic	selecting from or made up from a variety of soures
salutary	expecting an improvement, favorable to health
indeterminate	uncertain; indefinite
Torpor	extreme mental and physical sluggishness
Stentorian	extremely loud
Exculpate	to clear from blame; prove innocent
coalesce	to cause to become one
Invective	abusive language
Philanthropy	charity; a desire or effort to promote goodness
Embellish	to add ornamental or fictitious details
Palatial	relating to a palace; magnificent
Burgeon	to grow and flourish
Fawn	to grovel
Ribald	humorous in a vulgar way
antipathy	dislike; hostility
pedantic	showing off learning
Prevaricate	to lie or deviate from the truth
Demagogue	a leader or rabble-rouser, usually appealing to emotion or prejudice
supine	lying in the back, marked by lethargy
goad	to prod; urge on
complaisant	overly polite; willingness to comply with the wishes of others
meretricious	gaudy; specious; flasely attractive
vacillate	to waver, oscillate
aesthetic	relating to beauty or the arts
decorum	proper behavior
beatify	to sanctify; to bless; to ascribe a virtue to
Dither	to act confusedly or without clear purpose
Arrogate	to claim without justification; to claim for oneself without right
argot	a specialized vocabulary used by a group
penury	extreme poverty
circuitous	roundabout
fetid	having a bad smell
prohibitive	so high as to prevent the purchase or use of, forbidding
ardor	great emotion or passion
allay	to lessen; ease; soothe
Lavish	extremely generous or extravagant; giving unsparingly
turbid	muddy, opaque, in a state of great confusion
document	to provide with written evidence to support
Coffer	strongbox; large chest for money
Vicissitude	a change or variation; ups and downs
Perspicacious	shrewd, astute, or keen-witted
indolent	habitually lazy; idle
Gregarious	outgoing; sociable
Mercurial	quick, shrewd, and unpredictable
Plebeian	crude or coarse; characteristic of commoners
consecrate	to declare sacred
Debutante	young woman making debut in high society
Querulous	inclined to complain; irritable
Divine	to foretell or know by inspiration
meticulous	very careful; picky; fastidious
Coterie	an intimate group of persons with a similar purpose
apprise	to inform
Quiescent	motionless
litigation	legal proceedings
laud	praise
heterodox	not widely accepted
Laconic	using few words
alacrity	cheerful willingness; eagerness; speed
Stasis	a state of static balance or equilibrium; stagnation
Sentient	aware; conscious; able to perceive
archeology	the study of material evidence of past human life
denigrate	to slur someone's reputation
magnaminity	generosity; nobility
Gambol	to dance or skip around playfully
Myopic	lacking foresight; having a narrow view or long-range perspective
nexus	a means of connection; a center
coda	concluding part of a literary or musical composition; something that summarizes or concludes
quiescent	inactive, still
intractable	not easily managed
deride	to mock
petulant	rude; peevish
toady	flatterer, yes-man
aver	to affirm; declare to be true
Homogeneous	of a similar kind
Occlude	to stop up; prevent the passage of
blandishment	flattery
patois	jargon; a regional dialect
divulge	to make known something that is secret
Sycophant	a self-serving flatterer; yes-man
immutable	inchangeable
piquant	pleasantly pungent; attractive
Corroborate	to support with evidence
lethargic	inactive
Sacrosanct	extremely sacred; beyond criticism
antediluvian	prehistoric
oscillate	to move back and forth
fiat	arbitray order; authorization
Garner	to gather and store
conundrum	riddle; puzzle with no solution
sidereal	relating to the stars
platonic	spiritual; theoretical
compendium	brief, comprehensive summary
Castigate	to punish or criticize harshly
Zenith	the point of culmination; peak
Usury	the practice of lending money at exorbitant rates
esoteric	hard to understand; known only to a few
flag	to droop; grow weak
Supplant	to replace (another) by force; to take the place of
Indolent	habitually lazy or idle
allure	the power to entice by charm
dormant	inactive
timbre	voice tone color
complement	something that completes or makes up a whole
Impasse	blocked path; dilemma with no solution
Cogent	convincing and well-reasoned
Inchoate	no fully formed; disorganized
Zealot	someone passionately devoted to a cause
Frugality	tending to be thrifty or cheap
Venerable	respected because of age
poseur	poerson who affects an attitude to impress others
Eloquent	persuassive and moving, espcially in speech
Chicanery	deception by means of craft or guile
Zephyr	a gentle breeze; something airy or usubstantial
Seraphic	angelic; sweet
probity	honesty; high-mindness
pervasive	spread throughout every part
Fallow	dormant; unused
precarious	uncertain
Quixotic	overly idealistic; impractical
obsequy	funeral ceremony
atavism	in biology, the reappearance of a characteristic in an organism after several generations of absence; individual or a part that exhibits atavism; return of a trait after a period of absence
intangible	not material
Alacrity	speed or quickness
Nettle	to irritate
Pusillanimous	cowardly; without courage
abject	miserable; pitiful
arabesque	ornate design featuring intertwined curves; a ballet position in which one leg is extended in back while the other supports the weight of the body
Abjure	to reject; abandon formally
sensuous	relating to the senses
epistemology	branch of philosophy tha texamines the nature of knowledge
megalomania	delusions of power or importance
Lumber	to move slowly and awkwardly
vortex	whirpool, center of turbulence
harangue	long, pompous speech; tirade
herbivorous	an animal that feeds mainly on plants
cataclysm	a violent upheaval that causes great destruction and change
Peregrinate	to wander fro place to place; to travel; especially on foot
Declivity	downward slope
uncanny	myterious, strange
euphoria	feeling of extreme happiness
approbation	praise, approval
gainsay	to deny; dispute; oppose
exact	to force the payment of; demand and obtain by authority
Parry	to ward off or deflect, especially by a quickwitted answer
coagulate	thicken; congeal
refute	to contradict, disprove
problematic	posing a problem; doubtful
Verdant	green with vegtation; inexperienced
Gullible	easily deceived
recant	retract a statement of opinion
tirade	long, violent speech, verbal assault
Intransigent	uncompromising; refusing to be reconciled
irresolute	unsure of how to act; weak
centrifugal	moving away from a center
egoism	the tendency to see things in relation to oneself; self-centeredness
dearth	scarcity
preternatural	supernatural; beyond the normal use of nature
distend	to expand; swell out
attenuate	to weaken
talisman	charm to bring good luck and avert misfortune
literati	scholarly of learned persons
Epicure	person with refined taste in food and wine
exhort	to urge by strong appeals
tremulous	trembling, frugal, timid
Rustic	rural
extirpate	to root up; to destroy
Inure	to harden; accustom; become used to
